 1 Centrale kraftværker DK1
 2 Centrale kraftværker DK2
 3 Decentrale kraftværker DK1
 4 Decentrale kraftværker DK2
 5 Vindmøller DK1
 6 Vindmøller DK2
 7 Udveksling Jylland-Norge
 8 Udveksling Jylland-Sverige
 9 Udveksling Jylland-Tyskland
10 Udveksling Sjælland-Sverige
11 Udveksling Sjælland-Tyskland
12 Udveksling Bornholm-Sverige
13 Udveksling Fyn-Sjaelland
14 Temperatur i Malling
15 Vindhastighed i Malling
16 CO2 udledning
 
Dato og tid      ;      1 ;      2 ;      3 ;      4 ;      5 ;      6 ;      7 ;      8 ;      9 ;     10 ;     11 ;     12 ;     13 ;     14 ;     15 ;     16 ;
2013-05-29 00:00 ;    988 ;    558 ;    191 ;     81 ;    543 ;    334 ;    458 ;    600 ;   -923 ;    422 ;   -159 ;     -3 ;     23 ;     12 ;      4 ;    355 ;
2013-05-29 00:05 ;   1076 ;    578 ;    199 ;     86 ;    554 ;    331 ;    353 ;    602 ;   -911 ;    246 ;    -15 ;     -3 ;      0 ;     12 ;      7 ;    383 ;
2013-05-29 00:10 ;   1094 ;    536 ;    197 ;     90 ;    593 ;    332 ;    291 ;    607 ;   -897 ;    174 ;     98 ;     -4 ;      0 ;     12 ;      6 ;    380 ;
2013-05-29 00:15 ;   1118 ;    497 ;    198 ;     84 ;    611 ;    344 ;    235 ;    616 ;   -914 ;    164 ;    101 ;     -4 ;      0 ;     12 ;      5 ;    384 ;
2013-05-29 00:20 ;   1110 ;    511 ;    201 ;     78 ;    572 ;    346 ;    233 ;    616 ;   -920 ;    158 ;    101 ;     -6 ;      0 ;     12 ;      6 ;    394 ;
2013-05-29 00:25 ;   1114 ;    530 ;    199 ;     77 ;    579 ;    350 ;    233 ;    615 ;   -939 ;    109 ;    101 ;     -5 ;      0 ;     12 ;      6 ;    406 ;
2013-05-29 00:30 ;   1113 ;    529 ;    196 ;     78 ;    566 ;    361 ;    233 ;    616 ;   -936 ;    112 ;    101 ;     -5 ;      0 ;     12 ;      4 ;    405 ;
2013-05-29 00:35 ;   1122 ;    532 ;    203 ;     83 ;    573 ;    383 ;    232 ;    615 ;   -959 ;     47 ;    101 ;     -6 ;      0 ;     12 ;      6 ;    413 ;
2013-05-29 00:40 ;   1119 ;    515 ;    203 ;     82 ;    554 ;    405 ;    233 ;    615 ;   -934 ;     52 ;    102 ;     -5 ;      0 ;     12 ;      6 ;    408 ;
2013-05-29 00:45 ;   1116 ;    513 ;    199 ;     79 ;    561 ;    407 ;    232 ;    616 ;   -970 ;     45 ;    101 ;     -6 ;      0 ;     11 ;      5 ;    413 ;
2013-05-29 00:50 ;   1112 ;    506 ;    197 ;     82 ;    550 ;    416 ;    232 ;    602 ;   -944 ;     26 ;    101 ;     -5 ;      0 ;     11 ;      6 ;    413 ;
2013-05-29 00:55 ;   1116 ;    508 ;    199 ;    222 ;    525 ;    278 ;    232 ;    587 ;   -939 ;     22 ;    101 ;     -5 ;      0 ;     11 ;      4 ;    436 ;
2013-05-29 01:00 ;   1096 ;    503 ;    202 ;     81 ;    557 ;    282 ;    179 ;    472 ;   -773 ;    130 ;      0 ;     -4 ;      0 ;     11 ;      4 ;    430 ;
2013-05-29 01:05 ;   1012 ;    514 ;    197 ;     82 ;    560 ;    286 ;    118 ;    383 ;   -541 ;    217 ;   -109 ;     -5 ;      0 ;     11 ;      4 ;    412 ;
2013-05-29 01:10 ;    981 ;    512 ;    200 ;     78 ;    561 ;    282 ;    118 ;    380 ;   -512 ;    225 ;   -110 ;     -5 ;      0 ;     11 ;      4 ;    404 ;
2013-05-29 01:15 ;    952 ;    512 ;    195 ;     83 ;    539 ;    275 ;    117 ;    380 ;   -487 ;    213 ;   -110 ;     -5 ;      0 ;     11 ;      3 ;    403 ;
2013-05-29 01:20 ;    975 ;    513 ;    198 ;     77 ;    534 ;    304 ;    119 ;    380 ;   -517 ;    171 ;   -110 ;     -4 ;      0 ;     11 ;      3 ;    412 ;
2013-05-29 01:25 ;    978 ;    506 ;    199 ;     85 ;    541 ;    309 ;    118 ;    380 ;   -541 ;    170 ;   -111 ;     -4 ;      0 ;     11 ;      3 ;    414 ;
2013-05-29 01:30 ;    968 ;    509 ;    193 ;     78 ;    551 ;    330 ;    117 ;    380 ;   -535 ;    128 ;   -110 ;     -4 ;      0 ;     11 ;      3 ;    410 ;
2013-05-29 01:35 ;    956 ;    503 ;    196 ;     82 ;    582 ;    342 ;    116 ;    380 ;   -539 ;    133 ;   -110 ;     -3 ;      0 ;     11 ;      4 ;    401 ;
2013-05-29 01:40 ;    942 ;    504 ;    201 ;     79 ;    593 ;    345 ;    116 ;    381 ;   -552 ;    130 ;   -110 ;     -3 ;      0 ;     11 ;      3 ;    398 ;
2013-05-29 01:45 ;    898 ;    506 ;    196 ;     80 ;    607 ;    347 ;    116 ;    381 ;   -511 ;    103 ;   -110 ;     -2 ;      0 ;     11 ;      3 ;    390 ;
2013-05-29 01:50 ;    900 ;    506 ;    198 ;     80 ;    603 ;    347 ;    116 ;    370 ;   -500 ;    103 ;   -110 ;     -5 ;      0 ;     11 ;      3 ;    391 ;
2013-05-29 01:55 ;    904 ;    502 ;    188 ;     76 ;    592 ;    357 ;    116 ;    301 ;   -430 ;     92 ;   -110 ;     -3 ;      0 ;     11 ;      3 ;    391 ;
2013-05-29 02:00 ;    999 ;    488 ;    194 ;     81 ;    580 ;    368 ;      2 ;    163 ;   -284 ;    104 ;   -112 ;     -3 ;      0 ;     11 ;      3 ;    402 ;
2013-05-29 02:05 ;   1039 ;    492 ;    203 ;     80 ;    571 ;    540 ;   -118 ;     69 ;    -94 ;     87 ;   -115 ;     -4 ;      0 ;     11 ;      3 ;    384 ;
2013-05-29 02:10 ;   1023 ;    495 ;    201 ;     76 ;    589 ;    542 ;   -118 ;     35 ;    -81 ;     78 ;   -115 ;     -4 ;      0 ;     10 ;      3 ;    380 ;
2013-05-29 02:15 ;   1055 ;    482 ;    202 ;     77 ;    584 ;    543 ;   -116 ;     -1 ;    -48 ;    102 ;   -115 ;     -4 ;      0 ;     10 ;      2 ;    383 ;
2013-05-29 02:20 ;   1065 ;    468 ;    208 ;     80 ;    594 ;    533 ;   -116 ;     -1 ;    -61 ;     96 ;   -115 ;     -2 ;      0 ;     10 ;      3 ;    382 ;
2013-05-29 02:25 ;   1077 ;    444 ;    200 ;     87 ;    589 ;    543 ;   -116 ;     -1 ;    -63 ;    126 ;   -115 ;     -3 ;      0 ;     10 ;      3 ;    380 ;
2013-05-29 02:30 ;   1081 ;    438 ;    200 ;     81 ;    590 ;    552 ;   -116 ;     -1 ;    -75 ;    126 ;   -115 ;     -2 ;      0 ;     10 ;      4 ;    379 ;
2013-05-29 02:35 ;   1085 ;    436 ;    204 ;     80 ;    579 ;    549 ;   -116 ;     -1 ;    -63 ;    117 ;   -115 ;     -3 ;      0 ;     11 ;      4 ;    381 ;
2013-05-29 02:40 ;   1094 ;    438 ;    199 ;     85 ;    578 ;    537 ;   -118 ;     -1 ;    -80 ;    115 ;   -115 ;     -2 ;      0 ;     11 ;      4 ;    385 ;
2013-05-29 02:45 ;   1091 ;    442 ;    204 ;     84 ;    587 ;    552 ;   -116 ;     -1 ;    -93 ;    109 ;   -115 ;     -4 ;      0 ;     11 ;      4 ;    382 ;
2013-05-29 02:50 ;   1079 ;    446 ;    203 ;     81 ;    616 ;    546 ;   -126 ;     -1 ;    -94 ;    102 ;   -115 ;     -2 ;      0 ;     11 ;      4 ;    378 ;
2013-05-29 02:55 ;   1065 ;    443 ;    199 ;     79 ;    627 ;    549 ;   -136 ;     -1 ;    -68 ;    113 ;   -115 ;     -3 ;      0 ;     11 ;      5 ;    374 ;
2013-05-29 03:00 ;   1034 ;    449 ;    202 ;     82 ;    634 ;    552 ;    -64 ;     -1 ;   -137 ;    116 ;   -122 ;     -4 ;      0 ;     11 ;      3 ;    370 ;
2013-05-29 03:05 ;   1024 ;    451 ;    196 ;     82 ;    658 ;    547 ;    -63 ;     -1 ;   -138 ;    121 ;   -130 ;     -4 ;      0 ;     11 ;      2 ;    367 ;
2013-05-29 03:10 ;   1016 ;    435 ;    201 ;     75 ;    666 ;    554 ;    -72 ;     -1 ;   -141 ;    124 ;   -130 ;     -3 ;      0 ;     11 ;      2 ;    361 ;
2013-05-29 03:15 ;    990 ;    437 ;    202 ;     80 ;    652 ;    552 ;    -77 ;     -1 ;    -98 ;    114 ;   -130 ;     -2 ;      0 ;     11 ;      4 ;    360 ;
2013-05-29 03:20 ;    984 ;    434 ;    199 ;     83 ;    658 ;    549 ;    -77 ;     -1 ;    -85 ;    136 ;   -130 ;     -1 ;      0 ;     11 ;      3 ;    359 ;
2013-05-29 03:25 ;    961 ;    420 ;    198 ;     87 ;    665 ;    562 ;    -77 ;     -1 ;    -94 ;    136 ;   -130 ;     -2 ;      0 ;     11 ;      1 ;    352 ;
2013-05-29 03:30 ;    959 ;    415 ;    197 ;     79 ;    648 ;    575 ;    -77 ;     -1 ;    -65 ;    145 ;   -130 ;     -1 ;      0 ;     11 ;      2 ;    351 ;
2013-05-29 03:35 ;    974 ;    410 ;    196 ;     86 ;    641 ;    567 ;    -77 ;     -1 ;    -71 ;    168 ;   -130 ;     -2 ;      0 ;     11 ;      4 ;    354 ;
2013-05-29 03:40 ;    972 ;    412 ;    197 ;     79 ;    652 ;    579 ;    -75 ;     -1 ;    -84 ;    132 ;   -130 ;     -3 ;      0 ;     11 ;      4 ;    352 ;
2013-05-29 03:45 ;    931 ;    412 ;    200 ;     77 ;    687 ;    575 ;    -77 ;     -1 ;    -91 ;    134 ;   -130 ;     -4 ;      0 ;     11 ;      3 ;    342 ;
2013-05-29 03:50 ;    935 ;    415 ;    201 ;     72 ;    704 ;    585 ;    -93 ;     -1 ;    -95 ;    144 ;   -130 ;     -3 ;      0 ;     11 ;      3 ;    340 ;
2013-05-29 03:55 ;    922 ;    413 ;    199 ;     85 ;    727 ;    585 ;   -112 ;     -1 ;    -87 ;    136 ;   -130 ;     -2 ;      0 ;     11 ;      5 ;    335 ;
2013-05-29 04:00 ;    904 ;    404 ;    207 ;     82 ;    740 ;    603 ;   -116 ;     -1 ;    -78 ;     85 ;    -89 ;     -1 ;      0 ;     11 ;      5 ;    329 ;
2013-05-29 04:05 ;    885 ;    408 ;    201 ;     83 ;    767 ;    622 ;   -173 ;     -1 ;    -23 ;     43 ;    -34 ;      0 ;      0 ;     11 ;      3 ;    321 ;
2013-05-29 04:10 ;    880 ;    405 ;    198 ;     81 ;    800 ;    620 ;   -189 ;     -1 ;     11 ;     14 ;    -31 ;      0 ;      0 ;     11 ;      4 ;    317 ;
2013-05-29 04:15 ;    877 ;    411 ;    204 ;     78 ;    792 ;    617 ;   -205 ;     -1 ;      7 ;     11 ;    -31 ;     -1 ;      0 ;     11 ;      3 ;    319 ;
2013-05-29 04:20 ;    862 ;    415 ;    203 ;     85 ;    806 ;    626 ;   -207 ;     -1 ;      3 ;    -11 ;    -31 ;     -1 ;      0 ;     11 ;      6 ;    314 ;
2013-05-29 04:25 ;    850 ;    412 ;    205 ;     80 ;    816 ;    633 ;   -206 ;     -1 ;    -12 ;    -11 ;    -31 ;      0 ;      0 ;     11 ;      4 ;    311 ;
